[2024-03-20 23:25:33] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:33] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:33] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:33] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:25:34] [world] The Player <A_Random_Person> has crafted 1 of ENDER CHEST at X= -549, Y= 88, Z= 245
[2024-03-20 23:26:51] [world] The Player <Brycethelegend> has crafted 1 of SLIME BLOCK at X= -1356, Y= 63, Z= -266
[2024-03-20 23:43:52] [world] The Player <Brycethelegend> has crafted 1 of WORKBENCH at X= -537, Y= 73, Z= 100
[2024-03-20 23:44:13] [world] The Player <Brycethelegend> has crafted 1 of BOAT at X= -536, Y= 73, Z= 101
[2024-03-20 23:44:14] [world] The Player <Brycethelegend> has crafted 1 of BOAT at X= -536, Y= 73, Z= 101
[2024-03-20 23:44:16] [world] The Player <Brycethelegend> has crafted 1 of BOAT at X= -536, Y= 73, Z= 101
[2024-03-20 23:44:18] [world] The Player <Brycethelegend> has crafted 1 of BOAT at X= -536, Y= 73, Z= 101
[2024-03-20 23:55:58] [world] The Player <Brycethelegend> has crafted 4 of WOOD at X= -337, Y= 63, Z= -293
[2024-03-20 23:55:58] [world] The Player <Brycethelegend> has crafted 4 of WOOD at X= -337, Y= 63, Z= -293
[2024-03-20 23:56:03] [world] The Player <Brycethelegend> has crafted 1 of WORKBENCH at X= -337, Y= 63, Z= -293
[2024-03-20 23:56:12] [world] The Player <Brycethelegend> has crafted 4 of WOOD at X= -337, Y= 63, Z= -293
[2024-03-20 23:56:12] [world] The Player <Brycethelegend> has crafted 4 of WOOD at X= -337, Y= 63, Z= -293
[2024-03-20 23:56:12] [world] The Player <Brycethelegend> has crafted 4 of WOOD at X= -337, Y= 63, Z= -293
[2024-03-20 23:56:25] [world] The Player <Brycethelegend> has crafted 1 of BOAT at X= -337, Y= 63, Z= -293
