[2024-03-18 12:03:32] [world] The Player <character> has picked 1 of COBBLESTONE at X= -732, Y= 35, Z= 171 that had [] enchantment(s) |  
[2024-03-18 12:03:32] [world] The Player <character> has picked 63 of COBBLESTONE at X= -732, Y= 35, Z= 171 that had [] enchantment(s) |  
[2024-03-18 12:04:38] [world] The Player <Brycethelegend> has picked 2 of IRON_ORE at X= 2, Y= 69, Z= 1209 that had [] enchantment(s) |  
[2024-03-18 12:05:13] [world] The Player <Brycethelegend> has picked 1 of LOG at X= 55, Y= 64, Z= 1271 that had [] enchantment(s) |  
[2024-03-18 12:05:17] [world] The Player <Brycethelegend> has picked 1 of LOG at X= 55, Y= 64, Z= 1271 that had [] enchantment(s) |  
[2024-03-18 12:05:26] [world] The Player <character> has picked 1 of IRON_ORE at X= -771, Y= 11, Z= 176 that had [] enchantment(s) |  
[2024-03-18 12:05:31] [world] The Player <Brycethelegend> has picked 1 of LOG at X= 60, Y= 66, Z= 1271 that had [] enchantment(s) |  
[2024-03-18 12:05:31] [world] The Player <character> has picked 1 of IRON_ORE at X= -771, Y= 10, Z= 177 that had [] enchantment(s) |  
[2024-03-18 12:05:32] [world] The Player <character> has picked 2 of IRON_ORE at X= -772, Y= 11, Z= 177 that had [] enchantment(s) |  
[2024-03-18 12:05:34] [world] The Player <character> has picked 1 of IRON_ORE at X= -772, Y= 11, Z= 177 that had [] enchantment(s) |  
[2024-03-18 12:05:56] [world] The Player <Brycethelegend> has picked 8 of WOOD at X= 61, Y= 66, Z= 1271 that had [] enchantment(s) |  
[2024-03-18 12:06:06] [world] The Player <character> has picked 5 of REDSTONE at X= -772, Y= 10, Z= 173 that had [] enchantment(s) |  
[2024-03-18 12:06:08] [world] The Player <character> has picked 16 of IRON_INGOT at X= -773, Y= 10, Z= 173 that had [] enchantment(s) |  
