[2024-03-24 23:12:37] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10155, Y= 63, Z= 4109
[2024-03-24 23:12:37] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10155, Y= 63, Z= 4108
[2024-03-24 23:12:37] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10155, Y= 63, Z= 4107
[2024-03-24 23:12:38] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10156, Y= 63, Z= 4107
[2024-03-24 23:12:38] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10156, Y= 63, Z= 4108
[2024-03-24 23:12:38] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10157, Y= 63, Z= 4108
[2024-03-24 23:12:38] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10155, Y= 63, Z= 4106
[2024-03-24 23:12:39] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10156, Y= 63, Z= 4106
[2024-03-24 23:12:42] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10158, Y= 63, Z= 4107
[2024-03-24 23:12:42] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10159, Y= 63, Z= 4107
[2024-03-24 23:12:43] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10158, Y= 63, Z= 4106
[2024-03-24 23:12:43] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10159, Y= 63, Z= 4106
[2024-03-24 23:12:43] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10160, Y= 63, Z= 4106
[2024-03-24 23:12:43] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10161, Y= 63, Z= 4106
[2024-03-24 23:12:44] [world] The Player <GolemDaWanderer> has broke WATER_LILY at X= -10162, Y= 63, Z= 4106
[2024-03-24 23:12:44] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10161, Y= 63, Z= 4107
[2024-03-24 23:12:46] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10161, Y= 63, Z= 4108
[2024-03-24 23:12:47] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10161, Y= 63, Z= 4109
[2024-03-24 23:12:47] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10160, Y= 63, Z= 4109
[2024-03-24 23:12:48] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10160, Y= 63, Z= 4108
[2024-03-24 23:12:48] [world] The Player <GolemDaWanderer> has broke CROPS at X= -10159, Y= 63, Z= 4108
