[2024-03-20 14:11:09] [world] The Player <astronomy> has died with 10 level(s) at X= -577, Y= 68, Z= 246 | caused by Player | MrBlob2U
[2024-03-20 14:11:12] [world] The Player <MrBlob2U> has died with 30 level(s) at X= -578, Y= 69, Z= 248 | caused by Player | I_am_amazing
[2024-03-20 14:11:24] [world] The Player <astronomy> has died with 10 level(s) at X= -577, Y= 69, Z= 318 | caused by Player | MrBlob2U
[2024-03-20 14:11:53] [world_nether] The Player <Pog4lifepeople> has died with 16 level(s) at X= -287, Y= 25, Z= 497 | caused by LAVA | 
[2024-03-20 14:12:52] [world] The Player <qwerty> has died with 19 level(s) at X= -477, Y= 64, Z= -601 | caused by Player | Rip_Dogwater
[2024-03-20 14:13:18] [world] The Player <astronomy> has died with 10 level(s) at X= -575, Y= 68, Z= 248 | caused by Player | I_am_amazing
[2024-03-20 14:14:07] [world] The Player <qwerty> has died with 19 level(s) at X= -469, Y= 64, Z= -619 | caused by Player | Rip_Dogwater
[2024-03-20 14:14:25] [world] The Player <hexa> has died with 16 level(s) at X= -10317, Y= 6, Z= 3582 | caused by LAVA | 
[2024-03-20 14:14:49] [world] The Player <Rip_Dogwater> has died with 53 level(s) at X= -468, Y= 64, Z= -617 | caused by FALL | 
[2024-03-20 14:15:52] [world] The Player <VeerIsKKK> has died with 27 level(s) at X= 500, Y= 10, Z= 2334 | caused by LAVA | 
[2024-03-20 14:16:21] [world] The Player <MrBlob2U> has died with 30 level(s) at X= -574, Y= 68, Z= 246 | caused by Player | astronomy
[2024-03-20 14:16:30] [world] The Player <qwerty> has died with 19 level(s) at X= -487, Y= 64, Z= -617 | caused by Player | Rip_Dogwater
[2024-03-20 14:16:47] [world] The Player <qwerty> has died with 19 level(s) at X= -467, Y= 64, Z= -622 | caused by Player | Rip_Dogwater
